Item id;Child;Brand;DesignerId;SKU;Price;Size;Quantity;Season
16785455;;BURBERRY;4003184;BR4076472-LIMESTONE;899.00;OS;1;AW21
16748485;;Balmain;VN0UL533LNPO;BLVN0UL533LNPO-1KA;297.00;40;2;SS21
16748485;;Balmain;VN0UL533LNPO;BLVN0UL533LNPO-1KA;297.00;39;3;SS21
16748485;;Balmain;VN0UL533LNPO;BLVN0UL533LNPO-1KA;297.00;37;2;SS21
16748485;;Balmain;VN0UL533LNPO;BLVN0UL533LNPO-1KA;297.00;36;2;SS21
16747412;16233551;Balmain;VN0WJ002LVPT;BLVN0WJ002LVPT-0PA;390.00;85;2;SS21
16747412;16233551;Balmain;VN0WJ002LVPT;BLVN0WJ002LVPT-0PA;390.00;80;2;SS21
16747412;16233551;Balmain;VN0WJ002LVPT;BLVN0WJ002LVPT-0PA;390.00;75;2;SS21
16747412;16233551;Balmain;VN0WJ002LVPT;BLVN0WJ002LVPT-0PA;390.00;70;1;SS21
16698824;16677316;COMMON PROJECTS;6056;CMM6056-1414;394.00;41;3;SS21
16698824;16677316;COMMON PROJECTS;6056;CMM6056-1414;394.00;40;3;SS21
16698824;16677316;COMMON PROJECTS;6056;CMM6056-1414;394.00;39;6;SS21
16698824;16677316;COMMON PROJECTS;6056;CMM6056-1414;394.00;38;9;SS21
16698824;16677316;COMMON PROJECTS;6056;CMM6056-1414;394.00;37;9;SS21
16698824;16677316;COMMON PROJECTS;6056;CMM6056-1414;394.00;36;3;SS21
16694259;;TOD'S;XXW0FW05030CKO;TODXW0FW05030CKOT002;390.00;41;1;AW21
16694259;;TOD'S;XXW0FW05030CKO;TODXW0FW05030CKOT002;390.00;40;1;AW21
16694259;;TOD'S;XXW0FW05030CKO;TODXW0FW05030CKOT002;390.00;39;1;AW21
16694259;;TOD'S;XXW0FW05030CKO;TODXW0FW05030CKOT002;390.00;38;1;AW21
16677677;;COMMON PROJECTS;4139;CMM4139-506;338.00;41;1;SS21
16677677;;COMMON PROJECTS;4139;CMM4139-506;338.00;40;1;SS21
16677677;;COMMON PROJECTS;4139;CMM4139-506;338.00;39;3;SS21
16677677;;COMMON PROJECTS;4139;CMM4139-506;338.00;38;2;SS21
16677677;;COMMON PROJECTS;4139;CMM4139-506;338.00;37;2;SS21
16677677;;COMMON PROJECTS;4139;CMM4139-506;338.00;36;1;SS21
16673802;16233556;Balmain;VN1C591TCLU;BLVN1C591TCLU-0KW;810.90;39;3;SS21
16673802;16233556;Balmain;VN1C591TCLU;BLVN1C591TCLU-0KW;810.90;38;1;SS21
16673802;16233556;Balmain;VN1C591TCLU;BLVN1C591TCLU-0KW;810.90;37;3;SS21
16629722;16635480;Balmain;VN0DB534LCRF;BLVN0DB534LCRF-0PA;1789.00;OS;3;SS21
16628253;16202836;BALLY;6237830;BLY6237830-MIDNIGHT;430.00;39;1;SS21
16628253;16202836;BALLY;6237830;BLY6237830-MIDNIGHT;430.00;37;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;40;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;38,5;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;38;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;37,5;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;37;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;36;1;SS21
16624895;16523119;AQUAZZURA;SOLFLAS0SUNCOF;AQSOLFLAS0-SUN-COF;458.00;35;1;SS21
16580171;;ROBERTO CAVALLI;10719CPA;RC10719CPA;328.00;46;1;SS21
16580171;;ROBERTO CAVALLI;10719CPA;RC10719CPA;328.00;45;1;SS21
16580171;;ROBERTO CAVALLI;10719CPA;RC10719CPA;328.00;44;3;SS21
16580171;;ROBERTO CAVALLI;10719CPA;RC10719CPA;328.00;43;3;SS21
16580171;;ROBERTO CAVALLI;10719CPA;RC10719CPA;328.00;42;1;SS21
16580171;;ROBERTO CAVALLI;10719CPA;RC10719CPA;328.00;41;1;SS21
16580168;;ROBERTO CAVALLI;10718CPA;RC10718CPA;319.00;45;1;SS21
16580168;;ROBERTO CAVALLI;10718CPA;RC10718CPA;319.00;44;3;SS21
16580168;;ROBERTO CAVALLI;10718CPA;RC10718CPA;319.00;43;3;SS21
16580168;;ROBERTO CAVALLI;10718CPA;RC10718CPA;319.00;42;1;SS21
16580168;;ROBERTO CAVALLI;10718CPA;RC10718CPA;319.00;41;1;SS21
16580167;;ROBERTO CAVALLI;10794A;RC10794A;336.00;46;1;SS21
16580167;;ROBERTO CAVALLI;10794A;RC10794A;336.00;45;1;SS21
16580167;;ROBERTO CAVALLI;10794A;RC10794A;336.00;44;3;SS21
16580167;;ROBERTO CAVALLI;10794A;RC10794A;336.00;43;3;SS21
16580167;;ROBERTO CAVALLI;10794A;RC10794A;336.00;42;1;SS21
16580167;;ROBERTO CAVALLI;10794A;RC10794A;336.00;41;1;SS21
16580166;;ROBERTO CAVALLI;10796A;RC10796A;246.00;45;1;SS21
16580166;;ROBERTO CAVALLI;10796A;RC10796A;246.00;44;1;SS21
16580166;;ROBERTO CAVALLI;10796A;RC10796A;246.00;43;3;SS21
16580166;;ROBERTO CAVALLI;10796A;RC10796A;246.00;42;1;SS21
16580166;;ROBERTO CAVALLI;10796A;RC10796A;246.00;41;1;SS21
16580164;;ROBERTO CAVALLI;10765A;RC10765A;426.00;46;1;SS21
16580164;;ROBERTO CAVALLI;10765A;RC10765A;426.00;45;1;SS21
16580164;;ROBERTO CAVALLI;10765A;RC10765A;426.00;44;2;SS21
16580164;;ROBERTO CAVALLI;10765A;RC10765A;426.00;43;3;SS21
16580164;;ROBERTO CAVALLI;10765A;RC10765A;426.00;42;1;SS21
16580164;;ROBERTO CAVALLI;10765A;RC10765A;426.00;41;1;SS21
16580162;;ROBERTO CAVALLI;10736D;RC10736D;328.00;46;1;SS21
16580162;;ROBERTO CAVALLI;10736D;RC10736D;328.00;45;1;SS21
16580162;;ROBERTO CAVALLI;10736D;RC10736D;328.00;44;3;SS21
16580162;;ROBERTO CAVALLI;10736D;RC10736D;328.00;43;3;SS21
16580162;;ROBERTO CAVALLI;10736D;RC10736D;328.00;42;1;SS21
16580162;;ROBERTO CAVALLI;10736D;RC10736D;328.00;41;1;SS21
16580161;;ROBERTO CAVALLI;RC10731CPA;RC10731CPA;151.00;46;1;SS21
16580161;;ROBERTO CAVALLI;RC10731CPA;RC10731CPA;151.00;45;1;SS21
16580161;;ROBERTO CAVALLI;RC10731CPA;RC10731CPA;151.00;44;2;SS21
16580161;;ROBERTO CAVALLI;RC10731CPA;RC10731CPA;151.00;43;2;SS21
16580161;;ROBERTO CAVALLI;RC10731CPA;RC10731CPA;151.00;42;1;SS21
